SD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
60,56,48,45,558,491,41725567
52,56,46,46,560,1368,55520332
55,56,46,47,564,2645,52747772
54,55,46,46,551,4169,47116111
62,55,46,45,564,6228,37321954
52,56,46,46,551,8704,37212183
60,56,47,45,562,11661,44520323
52,56,45,46,553,14723,51947071
52,56,46,45,555,18532,29595554
52,55,46,45,553,22500,81350306
62,56,48,45,555,27000,48092295
52,56,45,45,553,31877,66543719
53,55,46,45,553,37223,40321095
54,56,46,45,552,42537,49966596
52,56,45,46,555,48956,59916610
54,56,45,46,553,55367,46334114
54,56,45,46,550,62124,40168360
55,56,46,46,551,69503,47989143
51,55,47,45,552,77179,52313343
53,56,47,46,552,85042,29348043
56,57,45,46,550,93379,50947917
52,55,45,45,551,102355,41005735
52,57,45,46,552,111873,82301296
72,56,45,45,553,121440,44205181
72,56,45,45,552,131146,57681117
52,56,45,46,559,141886,47710148
55,56,45,45,554,152685,46024198
52,56,45,45,551,164099,44574234
53,56,45,46,551,175709,29129017
53,55,45,45,550,187626,37016337
53,59,45,47,552,200100,64847699
55,57,45,46,551,213321,53351751
52,55,45,45,550,226225,59114854
53,55,45,45,552,240239,41194239
54,55,45,45,551,254340,68554281
54,55,45,45,553,268544,53524652
53,55,46,45,559,282413,70997334
96,57,45,45,551,298006,52260182
54,56,44,46,555,314118,40862455
53,56,45,45,550,330701,57258748
55,55,45,45,552,347068,45040833
54,56,46,45,554,364304,46979515
98,59,45,45,551,381024,27148101
52,56,46,45,558,399222,79690734
59,55,45,45,554,416384,38338222
53,55,46,47,552,434947,40215709
53,54,47,45,555,453170,56177554
55,55,45,45,557,472893,52508631
52,55,49,51,553,492883,60936829
78,54,45,46,557,512444,42182162
62,54,45,45,555,534080,42792721
52,47,45,45,553,553732,36012298
53,47,45,46,549,574693,67067249
53,47,45,45,552,596669,41166766
52,48,45,45,552,618175,53846963
51,48,45,45,549,640997,65453235
52,47,45,47,550,664093,50215132
52,47,45,45,550,687086,43728186
54,47,45,44,551,712284,43132514
52,47,46,47,550,732534,42678551
52,47,45,47,551,760110,32312681
53,49,48,48,548,783318,55979631
52,47,45,45,551,809018,58782344
51,47,45,45,551,834652,50900477
53,49,46,45,547,860825,61447340
52,47,45,45,555,886918,50980159
52,47,44,45,548,914823,39758486
53,47,45,45,549,940579,45445630
51,47,45,45,549,968644,42497225
52,47,45,46,551,994051,61729194
51,47,45,45,551,1024088,34397213
52,48,45,45,551,1053015,49976196
51,48,45,47,548,1080555,69721151
52,47,45,45,553,1111557,47054286
51,47,45,45,551,1142684,62368319
52,47,45,45,554,1173990,63381294
52,47,45,45,552,1204578,49623670
52,47,45,45,553,1233920,80211504
52,47,46,47,550,1266032,80117911
52,47,45,45,549,1298679,38158654
52,48,45,45,548,1330177,37087930
51,47,45,45,551,1363538,52496083
52,47,45,45,552,1397666,56572943
51,47,47,48,554,1429521,34371065
52,47,45,45,552,1462174,43386848
51,47,45,45,554,1498645,37778926
51,47,45,45,551,1528816,47527624
51,47,45,45,552,1569152,53394931
52,47,45,45,551,1600630,56252005
54,47,45,45,556,1640912,36587014
53,47,45,45,553,1676973,68255211
52,48,45,45,551,1714777,41748141
51,47,45,46,552,1749886,41664156
52,47,45,45,550,1784477,58896677
52,47,45,45,552,1825632,27701551
52,47,45,45,550,1860881,52114774
51,47,45,45,552,1904453,54458535
52,47,45,45,551,1941526,67638151
53,47,45,45,551,1983147,56153497
52,47,45,46,549,2023738,40918706
