SD-JWT,CSD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
1356,461,1361,1352,1365,260,1604,3219
1351,452,1366,1351,1363,260,2683,3218
1367,460,1351,1354,1347,260,4122,3219
1342,450,1356,1358,1350,260,5897,3218
1346,463,1357,1342,1348,260,7964,3218
1355,468,1357,1355,1355,260,10379,3219
1352,450,1346,1359,1356,260,13251,3219
1357,452,1362,1359,1361,260,16364,3219
1347,451,1372,1356,1353,260,19896,3219
1351,458,1365,1351,1347,260,23809,3218
1366,465,1344,1341,1354,260,27930,3218
1350,466,1356,1365,1363,260,32386,3218
1355,454,1350,1345,1359,260,37316,3217
1358,464,1353,1358,1361,260,42607,3218
1347,447,1348,1353,1362,260,48003,3218
1362,466,1356,1347,1360,260,54060,3218
1359,454,1353,1353,1349,260,60147,3219
1355,473,1361,1356,1354,260,66913,3218
1346,450,1359,1348,1353,260,73851,3219
1349,460,1358,1348,1352,260,81112,3218
1355,450,1360,1358,1351,260,88675,3218
1363,464,1364,1353,1356,260,96620,3219
1352,456,1353,1355,1358,260,104755,3218
1358,453,1357,1354,1357,260,113403,3219
1368,452,1344,1363,1353,260,122311,3217
1345,457,1359,1356,1349,260,131843,3219
1358,452,1357,1361,1355,260,141578,3217
1351,467,1362,1360,1361,260,151577,3218
1347,462,1356,1361,1353,260,161954,3218
1352,453,1366,1363,1353,260,172521,3218
1349,447,1357,1365,1353,260,183597,3217
1353,461,1357,1349,1346,260,195065,3218
1363,468,1350,1353,1352,260,206704,3219
1351,473,1354,1360,1352,260,219016,3218
1355,454,1356,1352,1364,260,231422,3219
1360,465,1375,1358,1359,260,244164,3219
1349,450,1347,1350,1354,260,257583,3218
1369,455,1350,1359,1366,260,270590,3218
1356,452,1347,1361,1355,260,284330,3218
1351,455,1355,1349,1358,260,298464,3218
1355,462,1358,1363,1363,260,313317,3219
1364,459,1358,1354,1352,260,327613,3217
1362,451,1358,1342,1362,260,342567,3218
1352,462,1353,1347,1368,260,358436,3218
1356,459,1359,1355,1356,260,375158,3217
1353,438,1358,1353,1356,260,390339,3217
1356,466,1351,1366,1351,260,407332,3219
1357,460,1362,1358,1354,260,423983,3218
1347,459,1358,1360,1361,260,441584,3217
1355,460,1352,1359,1369,260,458512,3219
1343,460,1350,1347,1347,260,477135,3217
1347,449,1362,1352,1355,260,494785,3217
1356,457,1348,1348,1355,260,513863,3217
1365,455,1370,1359,1355,260,532783,3217
1355,463,1345,1356,1370,260,552093,3218
1361,451,1353,1360,1359,260,571477,3216
1364,454,1364,1358,1361,260,591502,3219
1349,457,1348,1353,1353,260,612182,3217
1351,447,1356,1352,1359,260,632534,3219
1362,464,1359,1358,1365,260,653834,3217
1345,463,1347,1364,1360,260,675002,3217
1355,455,1353,1350,1350,260,697041,3218
1359,455,1356,1341,1365,260,718886,3217
1348,452,1341,1347,1337,260,741033,3218
1358,458,1357,1353,1359,260,764363,3219
1366,463,1349,1343,1360,260,786917,3218
1363,464,1345,1362,1359,260,810109,3218
1366,451,1365,1358,1346,260,833777,3219
1356,466,1372,1353,1349,260,858522,3219
1359,455,1349,1354,1364,260,882484,3218
1356,463,1364,1370,1372,260,906774,3218
1371,452,1364,1351,1358,260,932812,3217
1371,467,1366,1355,1357,260,958114,3218
1358,464,1357,1349,1350,260,983418,3219
1354,458,1365,1348,1353,260,1009703,3218
1363,455,1355,1351,1369,260,1036727,3218
1370,459,1358,1354,1350,260,1062554,3218
1358,460,1361,1366,1354,260,1090214,3218
1353,461,1356,1350,1363,260,1118387,3217
1349,464,1352,1351,1360,260,1146163,3217
1361,451,1355,1356,1361,260,1174582,3219
1347,459,1356,1360,1346,260,1202948,3217
1362,457,1356,1358,1352,260,1231774,3219
1349,464,1360,1349,1355,260,1260931,3219
1355,449,1346,1361,1363,260,1291792,3218
1358,452,1354,1349,1355,260,1320673,3218
1362,459,1349,1357,1360,260,1351222,3217
1358,463,1354,1344,1365,260,1381768,3219
1356,456,1355,1354,1366,260,1412208,3219
1354,464,1347,1361,1362,260,1443923,3218
1356,451,1359,1362,1361,260,1475117,3218
1357,467,1359,1364,1352,260,1506971,3218
1356,459,1353,1352,1368,260,1539879,3218
1352,471,1347,1357,1349,260,1572618,3218
1366,460,1359,1361,1356,260,1606235,3218
1376,463,1356,1360,1355,260,1638984,3218
1359,455,1359,1346,1356,260,1672750,3219
1360,459,1367,1359,1341,260,1707010,3218
1352,461,1358,1364,1352,260,1741538,3218
1357,455,1358,1353,1351,260,1775160,3218
