SD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
42,37,32,31,1059,884,11517
44,40,32,46,1443,880,12210
45,43,31,56,1816,883,12819
45,46,33,74,2202,917,13455
45,48,33,85,2589,892,14141
47,51,33,99,2968,914,14727
48,54,33,112,3350,899,15385
49,57,36,128,3736,923,16052
49,59,38,142,4121,901,16713
50,63,38,156,4498,921,17327
49,65,37,170,4881,933,18028
51,67,37,185,5263,922,18670
51,70,37,199,5656,903,19253
54,72,38,211,6028,953,19974
53,75,38,229,6421,910,20587
54,83,38,239,6805,905,21219
55,81,39,255,7182,879,21904
55,83,39,267,7557,906,22625
56,86,40,282,7942,897,23134
56,88,40,296,8319,875,23869
57,91,41,309,8705,914,24527
58,93,40,322,9090,888,25102
58,97,40,342,9474,905,25814
58,102,41,351,9859,909,26437
59,100,41,363,10249,928,27069
60,107,42,383,10629,900,27827
60,106,43,395,11019,961,28375
61,109,42,409,11390,908,29131
61,112,42,422,11768,912,29742
61,114,42,436,12157,919,30370
62,116,43,447,12528,938,31047
63,119,44,460,12915,935,31696
65,122,45,475,13307,901,32314
63,123,44,488,13691,890,33059
64,126,44,502,14066,892,33643
65,136,45,515,14447,910,34232
66,134,46,530,14815,925,35045
65,136,45,545,15221,928,35637
66,138,46,558,15612,923,36318
69,140,46,576,15972,932,37010
69,141,46,587,16360,912,37635
69,145,48,598,16736,912,38205
68,147,46,616,17130,913,39136
70,148,47,624,17497,915,39635
68,154,47,638,17887,932,40222
70,161,48,652,18262,906,40916
68,157,49,666,18651,908,41617
70,160,48,680,19028,909,42302
71,161,48,696,19407,920,43008
72,165,49,711,19796,927,43654
71,167,49,722,20160,924,44174
71,171,50,736,20557,905,44994
68,172,49,748,20938,904,45647
72,175,50,761,21328,900,46371
75,176,51,795,21708,924,47028
75,178,51,788,22092,912,47624
74,182,52,804,22471,906,48347
75,185,52,817,22841,923,49205
76,186,52,831,23240,950,49646
78,188,53,842,23614,924,50347
78,191,53,857,23982,951,50961
75,199,52,870,24357,905,51668
77,197,53,887,24758,969,52333
79,200,53,902,25142,892,52871
80,205,54,915,25520,913,53720
78,207,55,925,25901,923,54598
78,207,54,940,26292,914,54822
79,208,55,957,26670,915,55764
80,211,55,968,27047,919,56421
81,213,55,985,27439,896,57127
82,216,56,993,27816,905,57808
82,217,56,1012,28208,909,58444
84,222,56,1023,28585,959,59020
84,222,57,1040,28967,906,59828
81,231,57,1049,29343,900,60516
84,228,56,1064,29757,925,61127
84,231,57,1079,30122,941,61774
84,233,57,1092,30501,913,62576
85,240,58,1105,30895,926,63206
85,239,58,1119,31255,931,63728
87,241,60,1130,31652,948,64949
87,245,60,1145,32019,932,65178
87,249,59,1158,32394,947,66028
87,247,59,1173,32780,923,66691
89,250,60,1186,33177,951,67407
89,254,60,1200,33543,959,68134
88,258,60,1212,33936,941,68791
89,257,60,1227,34319,921,69312
90,257,60,1242,34697,972,70156
90,265,60,1254,35094,933,70847
90,268,61,1268,35459,1014,71637
90,270,61,1283,35849,913,72090
91,274,61,1294,36230,905,72850
90,271,61,1308,36610,947,73641
93,277,62,1322,36988,946,74203
92,281,62,1335,37373,962,74833
93,280,62,1349,37737,926,75600
94,281,62,1363,38138,914,76462
100,282,63,1381,38527,945,77087
93,286,63,1391,38901,899,77461
