SD-JWT,HMAC,MERKLE,MONOCLAIM,BBS+,PS,CL03
51,52,51,48,2387,2454,6656
51,55,51,92,2773,2569,7110
52,57,50,128,3147,2692,7546
52,60,52,167,3537,2789,7971
53,63,51,207,3917,2896,8416
53,66,51,247,4294,3015,8861
54,68,51,286,4678,3114,9312
55,71,53,327,5060,3227,9774
56,74,54,365,5447,3336,10212
55,78,53,405,5827,3454,10653
57,81,53,446,6216,3560,11128
57,81,53,485,6596,3684,11597
57,84,54,525,6966,3784,12005
58,86,54,563,7369,3901,12489
58,89,55,605,7731,4013,12933
59,92,56,643,8118,4129,13369
60,94,56,684,8497,4229,13847
60,96,56,722,8880,4347,14299
60,98,56,763,9260,4459,14754
61,100,57,804,9646,4572,15207
61,103,57,843,10028,4672,15645
62,105,57,883,10431,4781,16083
62,107,57,929,10798,4888,16659
62,110,58,965,11181,5005,17023
63,116,58,999,11556,5114,17489
63,120,59,1039,11941,5230,18056
63,116,61,1080,12334,5334,18396
65,121,59,1119,12719,5447,18849
65,121,59,1163,13108,5552,19328
64,124,61,1202,13468,5695,19786
66,126,60,1237,13861,5776,20235
65,135,60,1278,14225,5889,20700
68,132,61,1318,14620,6009,21203
67,134,61,1354,15006,6127,21648
67,136,61,1396,15383,6230,22103
68,140,61,1443,15762,6333,22548
68,145,62,1474,16134,6438,23053
69,151,62,1516,16533,6564,23550
69,150,62,1561,16900,6666,24107
72,149,62,1595,17285,6772,24448
70,152,62,1637,17666,6895,24931
70,164,62,1675,18063,7003,25370
72,156,63,1719,18441,7104,25836
74,159,63,1760,18833,7236,26367
72,164,64,1791,19201,7320,26778
75,163,64,1833,19575,7431,27238
72,168,64,1871,19963,7535,27726
73,169,64,1912,20363,7641,28203
73,172,64,1957,20720,7755,28730
77,176,64,1991,21106,7865,29163
75,177,65,2034,21491,7973,29567
75,178,65,2072,21870,8084,30238
75,181,65,2110,22269,8208,30568
75,186,66,2148,22642,8303,31017
76,185,66,2203,23025,8426,31561
79,190,66,2231,23398,8528,32183
77,194,66,2269,23773,8648,32505
78,194,70,2314,24169,8745,32988
81,196,67,2347,24555,8862,33420
79,200,67,2387,24926,8973,33916
79,201,68,2428,25312,9084,34423
79,202,67,2466,25699,9185,35042
81,207,68,2507,26070,9301,35480
81,209,68,2548,26458,9392,35993
83,209,69,2581,26838,9531,36338
84,212,69,2627,27215,9660,36777
83,214,69,2672,27613,9754,37276
82,217,70,2708,27971,9865,37782
85,219,70,2751,28358,9972,38344
85,223,70,2788,28747,10080,38816
84,228,70,2822,29169,10193,39251
85,226,70,2862,29529,10314,39943
85,231,71,2906,29895,10412,40126
88,233,71,2939,30277,10513,40707
85,233,71,2981,30672,10639,41190
87,241,71,3022,31044,10758,41628
87,238,72,3064,31440,10851,42112
87,245,71,3098,31803,10969,42680
87,244,72,3145,32201,11073,43120
88,251,72,3179,32573,11186,43599
91,251,73,3222,32949,11302,44132
91,250,74,3262,33325,11398,44818
89,253,73,3301,33716,11508,45117
90,258,73,3339,34098,11619,45644
90,260,73,3380,34475,11729,46123
91,261,73,3420,34840,11834,46609
92,263,74,3457,35267,11960,47097
92,266,74,3500,35631,12057,47880
92,268,75,3536,36011,12176,48112
92,271,75,3579,36394,12288,48575
94,273,75,3620,36755,12392,49040
93,276,75,3659,37150,12509,49565
94,278,75,3700,37534,12629,50073
94,281,75,3735,37913,12723,50555
95,283,76,3773,38307,12856,51044
97,285,76,3819,38688,12944,51497
97,290,76,3854,39076,13066,52072
96,291,76,3894,39436,13169,52589
97,293,77,3935,39822,13285,53312
102,295,77,3985,40214,13389,53686
